HUGO_SYMBOL	Type	con	V1	V2	V3
CADM2	E	CADM2_E	F	T	F
CSF1R	E	CSF1R_E	F	T	F
DEPDC5	E	DEPDC5_E	F	T	F
EED	E	EED_E	F	T	F
GNB2L1	E	GNB2L1_E	F	T	F
INSIG1	E	INSIG1_E	F	T	F
KCNIP1	E	KCNIP1_E	F	T	F
LINC00894	E	LINC00894_E	F	T	F
NEGR1	E	NEGR1_E	F	T	F
NPRL2	E	NPRL2_E	F	T	F
NPRL3	E	NPRL3_E	F	T	F
PTPRD	E	PTPRD_E	F	T	F
SLITRK6	E	SLITRK6_E	F	T	F
SQSTM1	E	SQSTM1_E	F	T	F
TLR4	E	TLR4_E	F	T	F
TRG@.TMPRSS2	I	TRG@.TMPRSS2_I	F	T	F
ABCB11	E	ABCB11_E	F	F	T
ACVR1	E	ACVR1_E	F	F	T
ARHGAP35	E	ARHGAP35_E	F	F	T
ARHGEF12	E	ARHGEF12_E	F	F	T
ATR	E	ATR_E	F	F	T
AXIN2	E	AXIN2_E	F	F	T
BABAM1	E	BABAM1_E	F	F	T
BARD1	E	BARD1_E	F	F	T
BCL11B	E	BCL11B_E	F	F	T
BRCC3	E	BRCC3_E	F	F	T
BRD3	E	BRD3_E	F	F	T
BRE	E	BRE_E	F	F	T
FAAP100	E	FAAP100_E	F	F	T
FAAP24	E	FAAP24_E	F	F	T
FAAP20	E	FAAP20_E	F	F	T
CALR	E	CALR_E	F	F	T
CASP8	E	CASP8_E	F	F	T
CBFA2T3	E	CBFA2T3_E	F	F	T
CBFB	E	CBFB_E	F	F	T
CDH4	E	CDH4_E	F	F	T
CDK12	E	CDK12_E	F	F	T
CDK8	E	CDK8_E	F	F	T
CHEK1	E	CHEK1_E	F	F	T
CIC	E	CIC_E	F	F	T
COL7A1	E	COL7A1_E	F	F	T
CTCF	E	CTCF_E	F	F	T
CTLA4	E	CTLA4_E	F	F	T
CTNNA1	E	CTNNA1_E	F	F	T
CXCR4	E	CXCR4_E	F	F	T
DAXX	E	DAXX_E	F	F	T
DCLRE1C	E	DCLRE1C_E	F	F	T
DDB1	E	DDB1_E	F	F	T
DIS3L2	E	DIS3L2_E	F	F	T
DKC1	E	DKC1_E	F	F	T
DMC1	E	DMC1_E	F	F	T
DOCK8	E	DOCK8_E	F	F	T
EGLN1	E	EGLN1_E	F	F	T
ELANE	E	ELANE_E	F	F	T
EME1	E	EME1_E	F	F	T
ENG	E	ENG_E	F	F	T
EPCAM	E	EPCAM_E	F	F	T
ERCC1	E	ERCC1_E	F	F	T
ERCC6	E	ERCC6_E	F	F	T
ERG	E	ERG_E	F	F	T
EXO1	E	EXO1_E	F	F	T
FAH	E	FAH_E	F	F	T
FAM175A	E	FAM175A_E	F	F	T
FAN1	E	FAN1_E	F	F	T
FANCB	E	FANCB_E	F	F	T
FANCI	E	FANCI_E	F	F	T
FANCL	E	FANCL_E	F	F	T
FANCM	E	FANCM_E	F	F	T
FAT1	E	FAT1_E	F	F	T
FOXA1	E	FOXA1_E	F	F	T
FOXL2	E	FOXL2_E	F	F	T
GALNT12	E	GALNT12_E	F	F	T
GATA2	E	GATA2_E	F	F	T
GBA	E	GBA_E	F	F	T
GEN1	E	GEN1_E	F	F	T
GREM1	E	GREM1_E	F	F	T
H19	E	H19_E	F	F	T
H3F3B	E	H3F3B_E	F	F	T
HABP2	E	HABP2_E	F	F	T
HELQ	E	HELQ_E	F	F	T
HFE	E	HFE_E	F	F	T
HIST1H3B	E	HIST1H3B_E	F	F	T
HIST1H3C	E	HIST1H3C_E	F	F	T
HMBS	E	HMBS_E	F	F	T
HOXB13	E	HOXB13_E	F	F	T
ID4	E	ID4_E	F	F	T
IGF2	E	IGF2_E	F	F	T
IL7R	E	IL7R_E	F	F	T
ITK	E	ITK_E	F	F	T
JAK1	E	JAK1_E	F	F	T
JAZF1	E	JAZF1_E	F	F	T
KAT6A	E	KAT6A_E	F	F	T
KAT6B	E	KAT6B_E	F	F	T
KCNQ1	E	KCNQ1_E	F	F	T
KDM5A	E	KDM5A_E	F	F	T
KIF1B	E	KIF1B_E	F	F	T
KLF2	E	KLF2_E	F	F	T
KLF4	E	KLF4_E	F	F	T
KLLN	E	KLLN_E	F	F	T
KMT2A	E	KMT2A_E	T	T	T
KMT2D	E	KMT2D_E	T	T	T
LIG4	E	LIG4_E	F	F	T
MAF	E	MAF_E	F	F	T
MAFB	E	MAFB_E	F	F	T
MAP2K2	E	MAP2K2_E	F	F	T
MAX	E	MAX_E	F	F	T
MBD4	E	MBD4_E	F	F	T
MCM8	E	MCM8_E	F	F	T
MED12	E	MED12_E	F	F	T
MGA	E	MGA_E	F	F	T
MLH3	E	MLH3_E	F	F	T
MRE11A	E	MRE11A_E	F	F	T
MTA1	E	MTA1_E	F	F	T
MTAP	E	MTAP_E	F	F	T
MUS81	E	MUS81_E	F	F	T
MYCL	E	MYCL_E	F	F	T
NEIL1	E	NEIL1_E	F	F	T
NEIL2	E	NEIL2_E	F	F	T
NEIL3	E	NEIL3_E	F	F	T
NFKBIE	E	NFKBIE_E	F	F	T
NKX3-1	E	NKX3-1_E	F	F	T
NOTCH3	E	NOTCH3_E	F	F	T
NR0B1	E	NR0B1_E	F	F	T
NRG1	E	NRG1_E	F	F	T
NSD1	E	NSD1_E	F	F	T
NT5C2	E	NT5C2_E	F	F	T
NTHL1	E	NTHL1_E	F	F	T
OGG1	E	OGG1_E	F	F	T
PAXIP1	E	PAXIP1_E	F	F	T
PML	E	PML_E	F	F	T
PNKP	E	PNKP_E	F	F	T
POLB	E	POLB_E	F	F	T
POLD1	E	POLD1_E	F	F	T
POLE	E	POLE_E	F	F	T
POLH	E	POLH_E	F	F	T
POLQ	E	POLQ_E	F	F	T
POT1	E	POT1_E	F	F	T
PPARG	E	PPARG_E	F	F	T
PPM1D	E	PPM1D_E	F	F	T
PPP2R1A	E	PPP2R1A_E	F	F	T
PRSS1	E	PRSS1_E	F	F	T
PTK2B	E	PTK2B_E	F	F	T
PTPN14	E	PTPN14_E	F	F	T
PVRL4	E	PVRL4_E	F	F	T
RAC1	E	RAC1_E	F	F	T
RAD50	E	RAD50_E	F	F	T
RAD51	E	RAD51_E	F	F	T
RAD51C	E	RAD51C_E	F	F	T
RAD51D	E	RAD51D_E	F	F	T
RAD52	E	RAD52_E	F	F	T
RAD54B	E	RAD54B_E	F	F	T
RASA1	E	RASA1_E	F	F	T
RBBP8	E	RBBP8_E	F	F	T
RBM10	E	RBM10_E	F	F	T
RELA	E	RELA_E	F	F	T
RHBDF2	E	RHBDF2_E	F	F	T
RHOA	E	RHOA_E	F	F	T
RHOH	E	RHOH_E	F	F	T
RHOT1	E	RHOT1_E	F	F	T
RICTOR	E	RICTOR_E	F	F	T
RIF1	E	RIF1_E	F	F	T
RINT1	E	RINT1_E	F	F	T
RIT1	E	RIT1_E	F	F	T
RMRP	E	RMRP_E	F	F	T
RNF43	E	RNF43_E	F	F	T
RNF8	E	RNF8_E	F	F	T
RPA1	E	RPA1_E	F	F	T
RPTOR	E	RPTOR_E	F	F	T
RSPO2	E	RSPO2_E	F	F	T
RSPO3	E	RSPO3_E	F	F	T
RUNX1T1	E	RUNX1T1_E	F	F	T
SERPINA1	E	SERPINA1_E	F	F	T
SH2D1A	E	SH2D1A_E	F	F	T
SLC25A13	E	SLC25A13_E	F	F	T
SLC34A2	E	SLC34A2_E	F	F	T
SLX1A	E	SLX1A_E	F	F	T
SLX1B	E	SLX1B_E	F	F	T
SLX4	E	SLX4_E	F	F	T
SMARCE1	E	SMARCE1_E	F	F	T
SOS1	E	SOS1_E	F	F	T
SPOP	E	SPOP_E	F	F	T
SRY	E	SRY_E	F	F	T
SS18	E	SS18_E	F	F	T
TAL1	E	TAL1_E	F	F	T
TAL2	E	TAL2_E	F	F	T
TAZ	E	TAZ_E	F	F	T
TCEB1	E	TCEB1_E	F	F	T
TDG	E	TDG_E	F	F	T
TET1	E	TET1_E	F	F	T
TFE3	E	TFE3_E	F	F	T
TLX3	E	TLX3_E	F	F	T
TMEM127	E	TMEM127_E	F	F	T
TMPRSS2	E	TMPRSS2_E	F	F	T
TOPBP1	E	TOPBP1_E	F	F	T
TP53BP1	E	TP53BP1_E	F	F	T
TRAF3	E	TRAF3_E	F	F	T
TRAF7	E	TRAF7_E	F	F	T
TRIM37	E	TRIM37_E	F	F	T
TSHR	E	TSHR_E	F	F	T
UBE2T	E	UBE2T_E	F	F	T
UIMC1	E	UIMC1_E	F	F	T
UROD	E	UROD_E	F	F	T
USP28	E	USP28_E	F	F	T
USP8	E	USP8_E	F	F	T
VEGFA	E	VEGFA_E	F	F	T
WAS	E	WAS_E	F	F	T
WHSC1	E	WHSC1_E	F	F	T
WHSC1L1	E	WHSC1L1_E	F	F	T
XRCC1	E	XRCC1_E	F	F	T
XRCC2	E	XRCC2_E	F	F	T
XRCC3	E	XRCC3_E	F	F	T
XRCC4	E	XRCC4_E	F	F	T
XRCC5	E	XRCC5_E	F	F	T
XRCC6	E	XRCC6_E	F	F	T
YAP1	E	YAP1_E	F	F	T
ZNRF3	E	ZNRF3_E	F	F	T
BIRC3	I	BIRC3_I	F	F	T
CBFB	I	CBFB_I	F	F	T
CIC	I	CIC_I	F	F	T
CRTC1	I	CRTC1_I	F	F	T
CRTC3	I	CRTC3_I	F	F	T
ESR1	I	ESR1_I	F	F	T
ETV4	I	ETV4_I	F	F	T
ETV5	I	ETV5_I	F	F	T
ETV6	I	ETV6_I	F	F	T
FIP1L1	I	FIP1L1_I	F	F	T
FOXO1	I	FOXO1_I	F	F	T
KMT2A	I	KMT2A_I	F	F	T
MET	I	MET_I	F	F	T
MYB	I	MYB_I	F	F	T
MYBL1	I	MYBL1_I	F	F	T
NAB2	I	NAB2_I	F	F	T
NCOA2	I	NCOA2_I	F	F	T
NR4A3	I	NR4A3_I	F	F	T
NRG1	I	NRG1_I	F	F	T
NTRK2	I	NTRK2_I	F	F	T
NTRK3	I	NTRK3_I	F	F	T
NUP214	I	NUP214_I	F	F	T
NUTM1	I	NUTM1_I	F	F	T
PDGFB	I	PDGFB_I	F	F	T
PHF1	I	PHF1_I	F	F	T
PML	I	PML_I	F	F	T
RELA	I	RELA_I	F	F	T
RSPO2	I	RSPO2_I	F	F	T
RSPO3	I	RSPO3_I	F	F	T
RUNX1	I	RUNX1_I	F	F	T
SLC34A2	I	SLC34A2_I	F	F	T
SUZ12	I	SUZ12_I	F	F	T
TMPRSS2	I	TMPRSS2_I	F	F	T
TP53	I	TP53_I	F	F	T
WWTR1	I	WWTR1_I	F	F	T
YAP1	I	YAP1_I	F	F	T
YWHAE	I	YWHAE_I	F	F	T
